datetime	caudal
2013-03-06	1.63
2013-03-07	1.41
2013-03-08	1.35
2013-03-09	1.55
2013-03-10	1.57
2013-03-11	1.48
2013-03-12	1.38
2013-03-13	1.33
2013-03-14	1.35
2013-03-15	1.39
2013-03-16	1.38
2013-03-17	1.41
2013-03-18	1.52
2013-03-19	1.56
2013-03-20	1.39
2013-03-21	1.38
2013-03-22	1.31
2013-03-23	1.39
2013-03-24	1.33
2013-03-25	1.28
2013-03-26	1.28
2013-03-27	1.29
2013-03-28	1.28
2013-03-29	1.35
2013-03-30	1.56
2013-03-31	1.85
2013-04-01	1.81
2013-04-02	1.61
2013-04-03	1.51
2013-04-04	1.56
2013-04-05	1.55
2013-04-06	1.35
2013-04-07	1.35
2013-04-08	1.47
2013-04-09	1.57
2013-04-10	1.41
2013-04-11	1.31
2013-04-12	1.28
2013-04-13	1.43
2013-04-14	1.43
2013-04-15	1.57
2013-04-16	1.63
2013-04-17	1.57
2013-04-18	1.54
2013-04-19	1.52
2013-04-21	1.47
2013-04-22	1.34
2013-04-23	1.30
2013-04-24	1.31
2013-04-25	1.28
2013-04-26	1.24
2013-04-27	1.22
2013-04-28	1.21
2013-04-29	1.20
2013-04-30	1.21
2013-05-01	1.20
2013-05-02	1.22
2013-05-03	1.24
2013-05-04	1.22
2013-05-05	1.33
2013-05-06	1.56
2013-05-07	1.90
2013-05-08	1.55
2013-05-09	1.47
2013-05-10	1.38
2013-05-11	1.31
2013-05-12	1.30
2013-05-13	1.25
2013-05-14	1.48
2013-05-15	1.59
2013-05-16	1.51
2013-05-17	1.43
2013-05-18	1.55
2013-05-19	1.77
2013-05-20	1.87
2013-05-22	1.63
2013-05-23	1.39
2013-05-24	1.42
2013-05-25	1.41
2013-05-26	1.47
2013-05-27	1.42
2013-05-28	1.35
2013-05-29	1.31
2013-05-30	1.38
2013-05-31	1.57
2013-06-01	1.78
2013-06-02	1.68
2013-06-03	1.83
2013-06-04	1.69
2013-06-05	1.90
2013-06-06	1.67
2013-06-16	1.74
2013-06-17	1.64
2013-06-21	1.89
2013-06-22	1.60
2013-06-23	1.74
2013-06-24	1.87
2013-06-25	1.63
2013-06-26	1.48
2013-06-27	1.44
2013-06-28	1.42
2013-06-29	1.38
2013-06-30	1.47
2013-07-01	1.81
2013-07-02	1.50
2013-07-03	1.47
2013-07-04	1.46
2013-07-05	1.38
2013-07-06	1.44
2013-07-10	1.92
2013-07-11	1.51
2013-07-12	1.56
2013-07-14	1.78
2013-07-19	1.79
2013-07-20	1.68
2013-07-21	1.86
2013-07-22	1.68
2013-07-23	1.55
2013-07-24	1.68
2013-07-26	1.85
2013-07-27	1.39
2013-07-28	1.30
2013-07-29	1.39
2013-07-30	1.67
2013-08-04	1.74
2013-08-05	1.63
2013-08-08	1.65
2013-08-09	1.41
2013-08-10	1.34
2013-08-11	1.41
2013-08-12	1.41
2013-08-13	1.29
2013-08-14	1.57
2013-08-15	1.82
2013-08-16	1.76
2013-08-17	1.54
2013-08-18	1.48
2013-08-19	1.33
2013-08-20	1.26
2013-08-21	1.50
2013-08-22	1.69
2013-08-23	1.33
2013-08-24	1.25
2013-08-25	1.24
2013-08-26	1.28
2013-08-27	1.63
2013-08-29	1.67
2013-08-30	1.30
2013-08-31	1.22
2013-09-01	1.21
2013-09-02	1.19
2013-09-03	1.16
2013-09-04	1.15
2013-09-05	1.19
2013-09-06	1.28
2013-09-07	1.17
2013-09-08	1.29
2013-09-09	1.83
2013-09-11	1.67
2013-09-12	1.31
2013-09-13	1.24
2013-09-14	1.19
2013-09-15	1.20
2013-09-16	1.81
2013-09-17	1.44
2013-09-18	1.37
2013-09-20	1.64
2013-09-21	1.30
2013-09-22	1.21
2013-09-23	1.61
2013-09-25	1.52
2013-09-26	1.43
2013-09-27	1.33
2013-09-28	1.22
2013-09-29	1.25
2013-09-30	1.28
2013-10-01	1.20
2013-10-02	1.16
2013-10-03	1.16
2013-10-04	1.20
2013-10-05	1.24
2013-10-06	1.74
2013-10-07	1.42
2013-10-08	1.35
2013-10-09	1.55
2013-10-10	1.39
2013-10-11	1.24
2013-10-12	1.17
2013-10-13	1.19
2013-10-14	1.42
2013-10-15	1.79
2013-10-16	1.73
2013-10-17	1.52
2013-10-18	1.35
2013-10-19	1.22
2013-10-20	1.38
2013-10-21	1.24
2013-10-22	1.21
2013-10-23	1.21
2013-10-24	1.20
2013-10-25	1.17
2013-10-26	1.17
2013-10-27	1.16
2013-10-28	1.17
2013-10-29	1.13
2013-10-30	1.24
2013-10-31	1.21
2013-11-01	1.13
2013-11-02	1.09
2013-11-03	1.07
2013-11-04	1.06
2013-11-05	1.06
2013-11-06	1.04
2013-11-07	1.04
2013-11-08	1.03
2013-11-09	1.02
2013-11-10	1.02
2013-11-11	1.02
2013-11-12	1.00
2013-11-13	1.02
2013-11-14	1.07
2013-11-15	1.07
2013-11-16	1.07
2013-11-17	1.09
2013-11-18	1.17
2013-11-19	1.12
2013-11-20	1.08
2013-11-21	1.04
2013-11-22	1.02
2013-11-23	1.02
2013-11-24	1.12
2013-11-25	1.11
2013-11-26	1.03
2013-11-27	1.03
2013-11-28	1.02
2013-11-29	1.02
2013-11-30	0.99
2013-12-01	0.99
2013-12-02	0.98
2013-12-03	0.98
2013-12-04	1.00
2013-12-05	1.16
2013-12-06	1.21
2013-12-07	1.11
2013-12-08	1.03
2013-12-09	1.03
2013-12-10	1.08
2013-12-11	1.03
2013-12-12	1.00
2013-12-13	0.99
2013-12-14	1.00
2013-12-15	0.99
2013-12-16	1.00
2013-12-17	1.11
2013-12-18	1.03
2013-12-19	1.04
2013-12-20	1.04
2013-12-21	1.03
2013-12-22	1.00
2013-12-23	0.98
2013-12-24	0.95
2013-12-25	0.95
2013-12-26	0.94
2013-12-27	0.94
2013-12-28	0.99
2013-12-29	1.12
2013-12-30	1.28
2013-12-31	1.19
2014-01-01	1.17
2014-01-02	1.16
2014-01-03	1.04
2014-01-04	1.06
2014-01-05	1.85
2014-01-06	1.61
2014-01-07	1.37
2014-01-08	1.85
